,0
422,Goldman 
423,Goldman 
424,Goldman 
425,Apple 
426,Yellen 
427,Apple 
428,Apple 
429,Citi 
430,Ackman 
431,Goldman 
432,Paulson 
433,Apple 
434,Goldman 
435,Krugman 
436,Bitcoin 
437,Dell 
438,Apple 
439,Ackman 
440,Goldman Sachs 
441,Holder 
442,Ackman 
443,Goldman 
444,Goldman 
445,Ackman 
446,Ackman 
447,Apple 
448,Apple 
449,Sandberg 
450,Google 
451,Google 
452,Ackman 
453,Apple 
454,Google 
455,Apple 
456,Apple 
457,Apple 
458,Apple 
459,Apple 
460,Apple 
461,Apple 
462,Apple 
463,Apple 
464,Apple 
465,Apple 
466,Apple 
467,Greenberg 
468,Johnson 
469,Apple 
470,White 
471,Apple 
472,Gartman 
473,Morgan 
474,Apple 
475,Apple 
476,Apple 
477,Apple 
478,Apple 
479,Apple 
480,Apple 
481,Apple 
482,Apple 
483,Morgan 
484,Apple 
485,Apple 
486,Apple 
487,Apple 
488,Apple 
489,Apple 
490,Apple 
491,Ackman 
492,Apple 
493,Apple 
494,Apple 
495,Apple 
496,Apple 
497,Apple 
498,Apple 
499,Apple 
500,Apple 
501,Michigan 
502,Michigan 
503,Michigan 
504,Michigan 
505,Michigan 
506,Johnson 
507,Johnson 
508,Michigan 
509,Apple 
510,Goldman 
511,Johnson 
512,Reuters 
513,Apple 
514,Apple 
515,Apple 
516,Apple 
517,Apple 
518,Apple 
519,Apple 
520,Apple 
521,Apple 
522,Goldman Sachs 
523,Germany 
524,Goldman 
525,Goldman 
526,Reuters 
527,Apple 
528,Tesla 
529,Goldman 
530,Goldman 
531,Business Insider 
532,People 
533,Goldman Sachs 
534,Goldman 
535,Goldman Sachs 
536,Johnson 
537,Google 
538,Facebook 
539,Business Insider 
540,Michigan 
541,Morgan 
542,Stockman 
543,Apple 
544,Apple 
545,Bitcoin 
546,Israel 
547,Citi 
548,Apple 
549,Google 
550,Ackman 
551,Goldman 
552,Bitcoin 
553,Goldman Sachs 
554,Apple 
555,Apple 
556,Apple 
557,Apple 
558,Apple 
559,Apple 
560,Apple 
561,Goldman Sachs 
562,Reuters 
563,Goldman 
564,Goldman 
565,Sherman 
566,Sherman 
567,Yellen 
568,Bitcoin 
569,Ackman 
570,Monday 
571,Goldman Sachs 
572,Business Insider 
573,Johnson 
574,Johnson 
575,Ullman 
576,Ullman 
577,Ackman 
578,Ackman 
579,Johnson 
580,Johnson 
581,Johnson 
582,Ackman 
583,Ackman 
584,Johnson 
585,Bitcoin 
586,Ullman 
587,Ullman 
588,Herbalife 
589,Herbalife 
590,Herbalife 
591,Herbalife 
592,Herbalife 
593,Goldman 
594,Herbalife 
595,Ackman 
596,Herbalife 
597,Ackman 
598,Bitcoin 
599,Business Insider 
600,Lauder 
601,Goldman 
602,Johnson 
603,Johnson 
604,Johnson 
605,Bitcoin 
606,Bitcoin 
607,Apple 
608,Apple 
609,Michigan 
610,Amazon 
611,Johnson 
612,Goldman 
613,Goldman 
614,Apple 
615,Apple 
616,Apple 
617,Apple 
618,Apple 
619,Apple 
620,Apple 
621,Apple 
622,Apple 
623,Apple 
624,Apple 
625,Apple 
626,Apple 
627,Goldman 
628,Goldman 
629,Morgan 
630,Morgan 
631,Google 
632,Google 
633,Schwarzman 
634,Goldman 
635,Apple 
636,Apple 
637,Apple 
638,Goldman 
639,Apple 
640,Apple 
641,Apple 
642,Apple 
643,Apple 
644,Apple 
645,Amazon 
646,Apple 
647,Apple 
648,Apple 
649,Goldman Sachs 
650,Apple 
651,Apple 
652,Apple 
653,Apple 
654,Apple 
655,Apple 
656,Apple 
657,Apple 
