,0
304,Bloomberg 
305,Bloomberg 
306,Morgan Stanley 
307,Bloomberg 
308,Morgan Stanley 
309,Morgan Stanley 
310,Bloomberg 
311,Bloomberg 
312,Bloomberg 
313,Bloomberg 
314,Bloomberg 
315,Bloomberg 
316,Stanley 
317,Morgan Stanley 
318,Bloomberg 
319,Morgan Stanley 
320,Bloomberg 
321,Morgan Stanley 
322,Morgan Stanley 
323,Morgan Stanley 
324,Morgan Stanley 
325,Bloomberg 
326,Morgan Stanley 
327,Morgan Stanley 
328,Bloomberg 
329,Bloomberg 
330,Bloomberg 
331,Bloomberg 
332,Morgan Stanley 
333,Bloomberg 
334,Bloomberg 
335,Bloomberg 
336,Bloomberg Businessweek 
337,Bloomberg 
338,Morgan Stanley 
339,Bloomberg 
340,Morgan Stanley 
341,Bloomberg 
342,Morgan Stanley 
343,Bloomberg 
344,Morgan Stanley 
345,Bloomberg 
346,Morgan Stanley 
347,Bloomberg 
348,Morgan Stanley 
349,Bloomberg 
350,Bloomberg 
351,Bloomberg News 
352,David Swenson 
353,Morgan Stanley 
354,Bloomberg 
355,Stanley 
356,Stanley 
357,Morgan Stanley 
358,Bill Ackman 
359,Bloomberg News 
360,Stanley 
361,Morgan Stanley 
362,Morgan Stanley 
363,Morgan Stanley 
364,Morgan Stanley 
365,Bloomberg 
366,Bloomberg 
367,Bloomberg 
368,Morgan Stanley 
369,Morgan Stanley 
370,Stanley 
371,Morgan Stanley 
372,Bloomberg 
373,Bloomberg 
374,Bloomberg 
375,Bloomberg 
376,Stanley 
377,Bloomberg 
378,Morgan Stanley 
379,Bloomberg 
380,Bloomberg 
381,Bloomberg 
382,Bloomberg 
383,Morgan Stanley 
384,Bloomberg 
385,Bloomberg 
386,Bloomberg 
387,Bloomberg 
388,Bloomberg 
389,Bloomberg 
390,Bloomberg 
391,Bloomberg 
392,Morgan Stanley 
393,Morgan Stanley 
394,Morgan Stanley 
395,Bloomberg 
396,Morgan Stanley 
397,Bloomberg 
398,Bloomberg 
399,Morgan Stanley 
400,Bloomberg 
401,Bloomberg 
402,Bloomberg 
403,Bloomberg 
404,Bloomberg 
405,Bloomberg 
406,Bloomberg 
407,Bloomberg 
408,Morgan Stanley 
409,Bloomberg 
410,Morgan Stanley 
411,Bloomberg 
412,Bloomberg 
413,Bloomberg 
414,Bloomberg 
415,Stanley 
416,Bloomberg 
417,Bloomberg 
418,Morgan Stanley 
419,Bloomberg 
420,Bloomberg 
421,Bloomberg 
422,Bloomberg 
423,Bloomberg 
424,Bloomberg 
425,Bloomberg 
426,Morgan Stanley 
427,Morgan Stanley 
428,Morgan Stanley 
429,Bloomberg 
430,Bloomberg 
431,Bloomberg 
432,Capital 
433,Morgan Stanley 
434,Bloomberg 
435,Bloomberg 
436,Karlsson 
437,Bloomberg 
438,Bloomberg 
439,Bloomberg Businessweek 
440,Bloomberg 
441,Bloomberg 
442,Bloomberg 
443,Bloomberg 
444,Bloomberg 
445,Bloomberg 
446,Morgan Stanley 
447,Bloomberg 
448,Morgan Stanley 
449,Bloomberg 
450,Mayor Michael Bloomberg 
451,Bloomberg 
452,Karlsson 
453,Bloomberg 
454,Bloomberg 
455,Bloomberg 
456,Morgan Stanley 
457,Morgan Stanley 
458,Morgan Stanley 
459,Morgan Stanley 
460,Bloomberg 
461,Bloomberg 
462,Bloomberg 
463,Bloomberg 
464,Bloomberg 
465,Bloomberg 
466,Morgan Stanley 
467,Bloomberg 
468,Bloomberg 
469,Bloomberg 
470,Morgan Stanley 
471,Bloomberg 
472,Bloomberg 
473,Stanley 
474,Morgan Stanley 
475,Michael Bloomberg 
476,Bloomberg Businessweek 
477,Bloomberg 
478,Morgan Stanley 
479,Morgan Stanley 
480,Bloomberg 
481,Bloomberg 
482,Bloomberg 
483,Bloomberg 
484,Bloomberg 
485,Bloomberg 
486,Bloomberg 
487,Morgan Stanley 
488,Bloomberg 
489,Bloomberg 
490,Bloomberg 
491,Hanson 
492,Bloomberg 
493,Morgan Stanley 
494,Morgan Stanley 
495,Bloomberg 
496,Mark Zuckerberg 
497,Morgan Stanley 
498,Morgan Stanley 
499,Bloomberg 
500,Bloomberg 
501,Bloomberg 
502,Bloomberg 
503,Goldberg 
504,Mark Zuckerberg 
505,Morgan Stanley 
506,Bloomberg 
507,Bloomberg 
508,Bloomberg 
509,Morgan Stanley 
510,Morgan Stanley 
511,Morgan Stanley 
512,Bloomberg 
513,Bloomberg 
514,Morgan Stanley 
515,Morgan Stanley 
516,Bloomberg 
517,Bloomberg 
518,Bloomberg Janet Yellen 
519,Bloomberg 
520,Stanley 
521,Stanley 
522,Stanley 
523,Stanley 
524,Stanley 
525,Stanley 
526,Morgan Stanley 
527,Bloomberg 
528,Stanley 
529,Morgan Stanley 
530,Bloomberg 
531,Bloomberg News 
532,Bloomberg 
533,Bloomberg 
534,Stanley 
535,Bloomberg News 
536,Morgan Stanley 
537,Bloomberg 
538,John Hussman 
539,Morgan Stanley 
540,Bloomberg 
541,Bloomberg 
542,Bloomberg 
543,Morgan Stanley 
544,Bloomberg 
545,Bloomberg 
546,Morgan Stanley 
547,Morgan Stanley 
548,Morgan Stanley 
549,Bloomberg 
550,Morgan Stanley 
551,Morgan Stanley 
552,Bloomberg 
553,Stanley 
554,Bloomberg 
555,Morgan Stanley 
556,Bloomberg 
557,Bloomberg 
558,Bloomberg 
559,Simpson 
560,Bloomberg 
561,Morgan Stanley 
562,Bloomberg Businessweek 
563,Bloomberg 
564,Bloomberg 
565,Bloomberg 
566,Bloomberg 
567,Bloomberg 
568,Bloomberg News 
569,Morgan Stanley 
570,David 
571,Bloomberg 
572,Bloomberg 
573,Bloomberg 
574,Bloomberg 
575,Bloomberg 
576,Mayor Michael Bloomberg 
577,Bloomberg 
578,Bloomberg 
579,David 
580,Bloomberg 
581,Morgan Stanley 
582,Morgan Stanley 
583,Stanley 
584,Morgan Stanley 
585,Bloomberg 
586,Morgan Stanley 
587,Bloomberg 
588,Bloomberg 
589,Bloomberg 
590,Bloomberg 
591,Morgan Stanley 
592,Morgan Stanley 
593,Zuckerberg 
594,Bloomberg 
595,Bloomberg 
596,Morgan Stanley 
597,Bloomberg 
598,Morgan Stanley 
599,Bloomberg 
600,Bloomberg 
601,Morgan Stanley 
602,Bloomberg 
603,Bloomberg 
604,Bloomberg 
605,Bloomberg 
606,Bloomberg 
607,Bloomberg 
608,Bloomberg 
609,Morgan Stanley 
610,Morgan Stanley 
611,Bloomberg 
612,Bloomberg 
613,Bloomberg 
614,Bloomberg 
615,Bloomberg 
616,Bloomberg 
617,Bloomberg 
618,Bloomberg 
619,Bloomberg 
620,Michael Bloomberg 
621,Stanley 
622,Morgan Stanley 
623,Morgan Stanley 
624,Bloomberg 
625,Morgan Stanley 
626,Morgan Stanley 
627,Bloomberg 
628,Bloomberg 
629,Bloomberg 
630,Bloomberg 
631,Bloomberg 
632,Bill Ackman 
633,Bloomberg 
634,Bloomberg 
635,Bloomberg 
636,Stanley 
637,Bloomberg 
