,0
520,0.3%
521,10%
522,99.9%
523,8.3%
524,60%
525,35%
526,7.5%
527,50%
528,40%
529,20%
530,20%
531,22%
532,50%
533,25%
534,30%
535,40%
536,50%
537,16%
538,70%
539,50%
540,2.2%
541,55%
542,0.7%
543,0.5%
544,38.2%
545,30%
546,35%
547,8.24%
548,3.7%
549,69%
550,10.14%
551,3.5%
552,49.6%
553,37.6%
554,29.9%
555,22.3%
556,19.7%
557,15.3%
558,39%
559,54%
560,35%
561,3.7%
562,10.14%
563,8.2%
564,5.5%
565,6.5%
566,7.7%
567,13%
568,0.6%
569,0.4%
570,0.5%
571,0.2%
572,0.2%
573,0.3%
574,0.3%
575,0.4%
576,17%
577,50%
578,19.7%
579,21%
580,60%
581,24%
582,25%
583,61%
584,2.7%
585,1.5%
586,0.2%
587,0.3%
588,0.1%
589,0.2%
590,0.1%
591,0.1%
592,0.24%
593,0.6%
594,0.7%
595,30%
596,75.1%
597,31.4%
598,4.8%
599,6.5%
600,100%
601,100%
602,0.62%
603,100%
604,100%
605,85%
606,42%
607,100%
608,100%
609,-3.5%
610,1.0%
611,11%
612,35%
613,17.9%
614,32.1%
615,28%
616,200%
617,10%
618,34%
619,27.7%
620,36.8%
621,29.2%
622,28.3%
623,27.7%
624,25.1%
625,20.6%
626,60%
627,48%
628,15%
629,17.4%
630,15.9%
631,27.6%
632,28.3%
633,17.9%
634,65%
635,25%
636,2.3%
637,10.7%
638,16.5%
639,15%
640,12%
641,11%
642,16%
643,32%
644,36%
645,53.5%
646,10%
647,15%
648,11%
649,15%
650,11.0%
651,10.4%
652,8.7%
653,8.4%
654,18%
655,2.5%
656,15%
657,0.1%
658,0.2%
659,78.5%
660,0.2%
661,0.6%
662,0.3%
663,2.56%
664,45%
665,10%
666,75%
667,23%
668,230%
669,10%
670,45%
671,10%
672,50%
673,15%
674,15%
675,1.5%
676,15%
677,40%
678,5.5%
679,6.8%
680,4.3%
681,3.9%
682,7.5%
683,3.9%
684,11.5%
685,10.7%
686,3.9%
687,4.3%
688,3.8%
689,4.4%
690,4.9%
691,8.3%
692,0.3%
693,28.5%
694,29.3%
695,12.6%
696,35.5%
697,414%
698,7.5%
699,3.5%
700,13.0%
701,7.5%
702,4.0%
703,14.0%
704,8.3%
705,8.0%
706,10.3%
707,20.6%
708,22.0%
709,7.4%
710,7.8%
711,60%
712,45%
713,33%
714,1.7%
715,1.9%
716,1.45%
717,1.58%
718,10%
719,22.7%
720,49%
721,35%
722,50%
723,4.5%
724,+60%
725,2.5%
726,1.8%
727,34.2%
728,1.1%
729,3.4%
730,75%
731,13.9%
732,16.6%
733,19.8%
734,42%
735,10-15%
736,28%
737,75%
738,10%
739,20%
740,16%
741,25%
742,14%
743,3.31%
744,32.6%
745,50%
746,78%
747,69%
748,57%
749,35%
750,34%
751,53%
752,2.0%
753,8.24%
754,25%
755,100%
756,8.24%
757,35%
758,1.5%
759,30%
760,30%
761,26%
762,20%
763,20%
764,1.0%
765,1.4%
766,1.0%
767,1.1%
768,13.4%
769,22.0%
770,9.7%
771,2.6%
772,14.7%
773,13.4%
774,12.3%
775,4.6%
776,68%
777,8.7%
778,18%
779,47%
780,31%
781,72%
782,11%
783,3.9%
784,4.7%
785,28%
786,17%
787,17%
788,1.9%
789,14.1%
790,12.7%
791,8.7%
792,7.4%
793,7.5%
794,7.8%
795,80%
796,100%
797,4.5%
798,4.3%
799,90%
800,70%
801,6.1%
802,4.4%
803,10%
804,15%
805,18.4%
806,25.6%
807,47%
808,30%
809,47%
810,30%
811,2.86%
812,7.9%
813,7.8%
814,7.8%
815,100%
816,2.8%
817,3.2%
818,7.7%
819,2.5%
820,15%
821,12%
822,2.2%
823,3.6%
824,0.5%
825,1.5%
826,4.5%
827,1.5%
828,-0.1%
829,+0.3%
830,+0.2%
831,+1.0%
832,0.3%
833,2.8%
834,1.4%
835,7.9%
836,2.8%
837,1.12%
838,5.3%
839,7.8%
840,5.5%
841,35%
842,61%
843,55%
844,57%
845,52%
846,20%
847,12%
848,13%
849,54%
850,59%
851,30%
852,35%
853,12%
854,-13%
855,100%
856,11.9%
857,5.6%
858,5.3%
859,4.1%
860,130%
861,30%
862,91%
863,2.25%
864,2.2%
865,2.75%
866,0.3%
867,1.5%
868,6.5%
869,2.5%
870,2.0%
871,+1.5%
872,+4.5%
873,+2.0%
874,+2.5%
875,4.46%
876,1.47%
877,3.4%
878,2.75%
879,20%
880,10.5%
881,4.5%
882,2.0%
883,20.6%
884,70%
885,35%
886,20%
887,25-250%
888,30%
889,150%
890,72%
891,61%
892,77%
893,40%
894,35%
895,11-12%
896,-3.45%
897,-8.67%
898,-15.33%
899,10%
900,-3.45%
901,1.3%
902,15.0%
903,18.3%
904,28.9%
905,2.0%
906,1.0%
907,1.5%
908,35%
909,7.5%
910,7.75%
911,2.75%
912,4.75%
913,7.7%
914,75%
915,74.4%
916,78.5%
917,2.9%
918,12.7%
919,15.9%
920,7.2%
921,11%
922,15.9%
923,24%
924,97%
925,13%
926,72%
927,83%
928,26%
929,13%
930,24%
931,-25%
932,13%
933,24%
